x,y,z,T,Ux,Uy,Uz,p,source
5.4500,0.3500,0.0500,295.929,0.2422,0.2670,-0.0292,100032.00,vane25
5.5500,0.3500,0.0500,295.963,0.2418,0.2570,-0.0276,100032.00,vane25
5.6500,0.3500,0.0500,295.998,0.2400,0.2464,-0.0264,100032.00,vane25
5.7500,0.3500,0.0500,296.035,0.2381,0.2352,-0.0257,100032.00,vane25
2.2500,0.4500,0.0500,296.041,-0.2215,0.2599,-0.0178,100032.00,vane25
2.3500,0.4500,0.0500,296.006,-0.2233,0.2707,-0.0181,100032.00,vane25
2.4500,0.4500,0.0500,295.973,-0.2251,0.2807,-0.0188,100032.00,vane25
2.5500,0.4500,0.0500,295.942,-0.2255,0.2900,-0.0199,100032.00,vane25
2.6500,0.4500,0.0500,295.913,-0.2242,0.2986,-0.0211,100032.00,vane25
2.7500,0.4500,0.0500,295.886,-0.2208,0.3063,-0.0223,100032.00,vane25
2.8500,0.4500,0.0500,295.862,-0.2152,0.3131,-0.0237,100032.00,vane25
2.9500,0.4500,0.0500,295.840,-0.2074,0.3190,-0.0250,100032.00,vane25
3.0500,0.4500,0.0500,295.820,-0.1974,0.3236,-0.0262,100032.00,vane25
3.1500,0.4500,0.0500,295.803,-0.1852,0.3268,-0.0274,100032.00,vane25
3.2500,0.4500,0.0500,295.787,-0.1709,0.3286,-0.0285,100032.00,vane25
3.3500,0.4500,0.0500,295.775,-0.1545,0.3286,-0.0295,100032.00,vane25
3.4500,0.4500,0.0500,295.764,-0.1358,0.3268,-0.0306,100032.00,vane25
3.5500,0.4500,0.0500,295.757,-0.1148,0.3231,-0.0316,100032.00,vane25
3.6500,0.4500,0.0500,295.751,-0.0916,0.3176,-0.0325,100032.00,vane25
3.7500,0.4500,0.0500,295.749,-0.0663,0.3108,-0.0330,100032.00,vane25
3.8500,0.4500,0.0500,295.750,-0.0387,0.3038,-0.0323,100032.00,vane25
3.9500,0.4500,0.0500,295.755,-0.0144,0.2969,-0.0302,100032.00,vane25
4.0500,0.4500,0.0500,295.755,0.0144,0.2969,-0.0302,100032.00,vane25
4.1500,0.4500,0.0500,295.750,0.0387,0.3038,-0.0323,100032.00,vane25
4.2500,0.4500,0.0500,295.749,0.0663,0.3108,-0.0330,100032.00,vane25
4.3500,0.4500,0.0500,295.751,0.0916,0.3176,-0.0325,100032.00,vane25
4.4500,0.4500,0.0500,295.757,0.1148,0.3231,-0.0316,100032.00,vane25
4.5500,0.4500,0.0500,295.765,0.1358,0.3268,-0.0306,100032.00,vane25
4.6500,0.4500,0.0500,295.775,0.1545,0.3286,-0.0295,100032.00,vane25
4.7500,0.4500,0.0500,295.788,0.1709,0.3286,-0.0285,100032.00,vane25
4.8500,0.4500,0.0500,295.803,0.1852,0.3268,-0.0274,100032.00,vane25
