dir,k,step,x,y,z,T
Xp,1,42,6.0154,1.8515,1.7208,21.729
Xp,2,42,6.3469,1.8484,1.8811,22.142
Xp,3,42,6.3514,1.9235,1.8782,21.888
Xp,4,42,6.3420,1.9419,1.8712,21.888
Xp,5,42,6.3118,1.9756,1.8658,21.859
Xp,6,42,6.1168,2.0037,1.7765,21.767
Xp,7,42,5.8846,2.0203,1.7735,21.863
Xp,8,42,5.4802,2.0180,1.8496,21.758
Xp,0,43,5.4126,1.8622,1.8309,21.470
Xp,1,43,6.0356,1.8514,1.7024,21.729
Xp,2,43,6.3665,1.8471,1.8691,22.142
Xp,3,43,6.3755,1.9224,1.8634,21.888
Xp,4,43,6.3661,1.9407,1.8563,21.888
Xp,5,43,6.3359,1.9752,1.8506,21.859
Xp,6,43,6.1388,2.0035,1.7591,21.767
Xp,7,43,5.9025,2.0200,1.7566,21.863
Xp,8,43,5.4956,2.0164,1.8320,21.758
Xp,0,44,5.4287,1.8621,1.8119,21.470
Xp,1,44,6.0557,1.8513,1.6840,21.831
Xp,2,44,6.3861,1.8457,1.8572,22.142
Xp,3,44,6.3996,1.9212,1.8485,21.910
Xp,4,44,6.3876,1.9403,1.8405,21.910
Xp,5,44,6.3570,1.9752,1.8345,21.901
Xp,6,44,6.1607,2.0032,1.7417,21.767
Xp,7,44,5.9205,2.0197,1.7398,21.863
Xp,8,44,5.5110,2.0149,1.8144,21.758
Xp,0,45,5.4447,1.8619,1.7930,21.470
Xp,1,45,6.0758,1.8514,1.6669,21.831
Xp,2,45,6.4058,1.8444,1.8452,22.143
Xp,3,45,6.4190,1.9202,1.8339,22.043
Xp,4,45,6.4091,1.9398,1.8246,21.910
Xp,5,45,6.3781,1.9752,1.8185,21.901
Xp,6,45,6.1833,2.0030,1.7247,21.845
Xp,7,45,5.9416,2.0198,1.7219,21.812
Xp,8,45,5.5264,2.0133,1.7968,21.758
Xp,0,46,5.4656,1.8619,1.7722,21.346
Xp,1,46,6.0959,1.8514,1.6498,21.831
Xp,2,46,6.4245,1.8436,1.8313,22.078
Xp,3,46,6.4385,1.9191,1.8194,22.043
Xp,4,46,6.4285,1.9388,1.8101,22.043
Xp,5,46,6.3992,1.9752,1.8024,21.901
Xp,6,46,6.2037,2.0030,1.7077,21.845
Xp,7,46,5.9600,2.0200,1.7044,21.812
Xp,8,46,5.5418,2.0118,1.7792,21.758
Xp,0,47,5.4865,1.8619,1.7515,21.346
Xp,1,47,6.1159,1.8515,1.6326,21.831
Xp,2,47,6.4433,1.8428,1.8175,22.078
Xp,3,47,6.4579,1.9181,1.8048,22.043
Xp,4,47,6.4479,1.9377,1.7955,22.043
Xp,5,47,6.4202,1.9749,1.7865,21.931
Xp,6,47,6.2242,2.0031,1.6907,21.845
Xp,7,47,5.9785,2.0202,1.6869,21.812
Xp,8,47,5.5572,2.0102,1.7616,21.758
Xp,0,48,5.5074,1.8619,1.7307,21.346
Xp,1,48,6.1360,1.8516,1.6155,21.831
Xp,2,48,6.4621,1.8420,1.8037,22.078
Xp,3,48,6.4773,1.9171,1.7903,22.043
Xp,4,48,6.4674,1.9367,1.7810,22.043
Xp,5,48,6.4413,1.9746,1.7706,21.931
Xp,6,48,6.2447,2.0032,1.6737,21.845
Xp,7,48,5.9969,2.0204,1.6694,21.812
Xp,8,48,5.5726,2.0087,1.7440,21.702
Xp,0,49,5.5248,1.8619,1.7109,21.510
Xp,1,49,6.1540,1.8520,1.5986,21.885
Xp,2,49,6.4809,1.8412,1.7899,22.078
Xp,3,49,6.4968,1.9160,1.7757,22.043
Xp,4,49,6.4868,1.9357,1.7664,22.043
Xp,5,49,6.4623,1.9744,1.7546,21.931
Xp,6,49,6.2652,2.0033,1.6567,21.845
Xp,7,49,6.0154,2.0206,1.6519,21.812
Xp,8,49,5.5897,2.0074,1.7256,21.831
Xp,0,50,5.5422,1.8620,1.6910,21.510
Xp,1,50,6.1721,1.8525,1.5817,22.001
Xp,2,50,6.4997,1.8404,1.7760,22.078
Xp,3,50,6.5162,1.9150,1.7611,22.043
Xp,4,50,6.5062,1.9346,1.7519,22.043
Xp,5,50,6.4833,1.9741,1.7387,21.931
Xp,6,50,6.2856,2.0034,1.6397,21.845
Xp,7,50,6.0338,2.0208,1.6344,21.812
Xp,8,50,5.6038,2.0063,1.7079,21.831
Xp,0,51,5.5596,1.8620,1.6712,21.510
Xp,1,51,6.1889,1.8530,1.5665,22.001
Xp,2,51,6.5184,1.8396,1.7622,22.078
Xp,3,51,6.5356,1.9140,1.7466,22.035
Xp,4,51,6.5257,1.9336,1.7373,22.043
Xp,5,51,6.5044,1.9738,1.7228,21.951
Xp,6,51,6.3051,2.0037,1.6236,21.933
Xp,7,51,6.0523,2.0211,1.6169,21.831
Xp,8,51,5.6179,2.0052,1.6903,21.831
Xp,0,52,5.5770,1.8621,1.6513,21.461
Xp,1,52,6.2058,1.8535,1.5512,22.001
Xp,2,52,6.5372,1.8388,1.7484,22.196
Xp,3,52,6.5550,1.9128,1.7314,22.035
Xp,4,52,6.5451,1.9325,1.7222,22.040
Xp,5,52,6.5241,1.9738,1.7068,21.951
Xp,6,52,6.3246,2.0040,1.6074,21.966
Xp,7,52,6.0699,2.0215,1.5999,21.892
Xp,8,52,5.6319,2.0041,1.6726,21.831
Xp,0,53,5.5962,1.8619,1.6308,21.461
Xp,1,53,6.2226,1.8540,1.5359,22.001
Xp,2,53,6.5534,1.8367,1.7349,22.196
Xp,3,53,6.5735,1.9121,1.7162,22.040
Xp,4,53,6.5635,1.9317,1.7069,22.040
Xp,5,53,6.5420,1.9743,1.6906,22.027
Xp,6,53,6.3425,2.0047,1.5914,21.966
Xp,7,53,6.0875,2.0219,1.5830,21.892
Xp,8,53,5.6460,2.0031,1.6550,21.831
Xp,0,54,5.6155,1.8618,1.6102,21.461
Xp,1,54,6.2395,1.8545,1.5207,22.001
Xp,2,54,6.5689,1.8352,1.7213,22.197
Xp,3,54,6.5919,1.9113,1.7009,22.040
Xp,4,54,6.5819,1.9310,1.6916,22.040
Xp,5,54,6.5598,1.9748,1.6745,22.027
Xp,6,54,6.3605,2.0053,1.5753,21.966
Xp,7,54,6.1051,2.0223,1.5660,21.892
Xp,8,54,5.6601,2.0020,1.6373,21.831
Xp,0,55,5.6317,1.8618,1.5905,21.604
Xp,1,55,6.2564,1.8550,1.5054,22.001
Xp,2,55,6.5845,1.8336,1.7078,22.197
Xp,3,55,6.6103,1.9106,1.6856,22.040
Xp,4,55,6.6004,1.9303,1.6763,22.040
Xp,5,55,6.5777,1.9752,1.6584,22.027
Xp,6,55,6.3784,2.0060,1.5593,21.966
Xp,7,55,6.1227,2.0227,1.5491,21.892
Xp,8,55,5.6742,2.0009,1.6197,21.831
Xp,0,56,5.6480,1.8618,1.5709,21.604
Xp,1,56,6.2732,1.8555,1.4901,22.001
Xp,2,56,6.6000,1.8321,1.6942,22.197
Xp,3,56,6.6288,1.9099,1.6703,22.040
Xp,4,56,6.6188,1.9295,1.6611,22.040
Xp,5,56,6.5955,1.9757,1.6422,22.027
Xp,6,56,6.3963,2.0067,1.5432,21.966
Xp,7,56,6.1403,2.0232,1.5321,21.892
Xp,8,56,5.6882,1.9998,1.6020,21.937
Xp,0,57,5.6643,1.8618,1.5512,21.604
Xp,1,57,6.2884,1.8563,1.4752,22.035
Xp,2,57,6.6155,1.8305,1.6807,22.197
