t_s,point,ue_x,ue_y,z,T_C,U_mag
26.45,D,0.50,0.80,1.70,28.850,0.0309
27.6,A,4.00,2.00,0.10,28.850,0.1680
27.6,A,4.00,2.00,1.10,28.850,0.1034
27.6,A,4.00,2.00,1.70,28.850,0.0646
27.6,B,7.50,0.80,0.10,28.850,0.1425
27.6,B,7.50,0.80,1.10,28.850,0.0206
27.6,B,7.50,0.80,1.70,28.850,0.0318
27.6,C,4.00,4.50,0.10,28.850,0.1423
27.6,C,4.00,4.50,1.10,28.850,0.0005
27.6,C,4.00,4.50,1.70,28.850,0.0005
27.6,D,0.50,0.80,0.10,28.850,0.1425
27.6,D,0.50,0.80,1.10,28.850,0.0206
27.6,D,0.50,0.80,1.70,28.850,0.0318
28.75,A,4.00,2.00,0.10,28.850,0.1728
28.75,A,4.00,2.00,1.10,28.850,0.1063
28.75,A,4.00,2.00,1.70,28.850,0.0664
28.75,B,7.50,0.80,0.10,28.850,0.1466
28.75,B,7.50,0.80,1.10,28.850,0.0212
28.75,B,7.50,0.80,1.70,28.850,0.0327
28.75,C,4.00,4.50,0.10,28.850,0.1464
28.75,C,4.00,4.50,1.10,28.850,0.0005
28.75,C,4.00,4.50,1.70,28.850,0.0005
28.75,D,0.50,0.80,0.10,28.850,0.1466
28.75,D,0.50,0.80,1.10,28.850,0.0212
28.75,D,0.50,0.80,1.70,28.850,0.0327
29.9,A,4.00,2.00,0.10,28.850,0.1774
29.9,A,4.00,2.00,1.10,28.850,0.1092
29.9,A,4.00,2.00,1.70,28.850,0.0682
29.9,B,7.50,0.80,0.10,28.850,0.1505
29.9,B,7.50,0.80,1.10,28.850,0.0217
29.9,B,7.50,0.80,1.70,28.850,0.0336
29.9,C,4.00,4.50,0.10,28.850,0.1503
29.9,C,4.00,4.50,1.10,28.850,0.0005
29.9,C,4.00,4.50,1.70,28.850,0.0006
29.9,D,0.50,0.80,0.10,28.850,0.1505
29.9,D,0.50,0.80,1.10,28.850,0.0217
29.9,D,0.50,0.80,1.70,28.850,0.0336
31.05,A,4.00,2.00,0.10,28.850,0.1820
31.05,A,4.00,2.00,1.10,28.850,0.1120
31.05,A,4.00,2.00,1.70,28.850,0.0699
31.05,B,7.50,0.80,0.10,28.850,0.1544
31.05,B,7.50,0.80,1.10,28.850,0.0223
31.05,B,7.50,0.80,1.70,28.850,0.0344
31.05,C,4.00,4.50,0.10,28.850,0.1542
31.05,C,4.00,4.50,1.10,28.850,0.0006
31.05,C,4.00,4.50,1.70,28.850,0.0006
31.05,D,0.50,0.80,0.10,28.850,0.1544
31.05,D,0.50,0.80,1.10,28.850,0.0223
