ix,iy,x,y,T
89,4,712.0,32.0,23.196
90,4,720.0,32.0,23.196
91,4,728.0,32.0,23.175
92,4,736.0,32.0,23.175
93,4,744.0,32.0,23.175
94,4,752.0,32.0,23.175
95,4,760.0,32.0,23.244
96,4,768.0,32.0,23.244
97,4,776.0,32.0,23.244
98,4,784.0,32.0,23.244
99,4,792.0,32.0,23.633
1,5,8.0,40.0,23.526
2,5,16.0,40.0,23.526
3,5,24.0,40.0,23.526
4,5,32.0,40.0,23.197
5,5,40.0,40.0,23.197
6,5,48.0,40.0,23.197
7,5,56.0,40.0,23.182
8,5,64.0,40.0,23.182
9,5,72.0,40.0,23.182
10,5,80.0,40.0,23.182
11,5,88.0,40.0,23.200
12,5,96.0,40.0,23.200
13,5,104.0,40.0,23.200
14,5,112.0,40.0,23.213
15,5,120.0,40.0,23.213
16,5,128.0,40.0,23.213
17,5,136.0,40.0,23.213
18,5,144.0,40.0,23.230
19,5,152.0,40.0,23.230
20,5,160.0,40.0,23.230
21,5,168.0,40.0,23.230
22,5,176.0,40.0,23.305
23,5,184.0,40.0,23.305
24,5,192.0,40.0,23.305
25,5,200.0,40.0,23.368
26,5,208.0,40.0,23.368
27,5,216.0,40.0,23.368
28,5,224.0,40.0,23.449
29,5,232.0,40.0,23.449
30,5,240.0,40.0,23.449
31,5,248.0,40.0,23.449
32,5,256.0,40.0,23.547
33,5,264.0,40.0,23.547
34,5,272.0,40.0,23.547
35,5,280.0,40.0,23.621
36,5,288.0,40.0,23.621
37,5,296.0,40.0,23.621
38,5,304.0,40.0,23.621
39,5,312.0,40.0,23.681
40,5,320.0,40.0,23.681
41,5,328.0,40.0,23.681
42,5,336.0,40.0,23.681
43,5,344.0,40.0,23.727
44,5,352.0,40.0,23.727
45,5,360.0,40.0,23.727
46,5,368.0,40.0,23.752
47,5,376.0,40.0,23.752
48,5,384.0,40.0,23.752
49,5,392.0,40.0,23.752
50,5,400.0,40.0,23.764
51,5,408.0,40.0,23.764
52,5,416.0,40.0,23.764
53,5,424.0,40.0,23.744
54,5,432.0,40.0,23.744
55,5,440.0,40.0,23.744
56,5,448.0,40.0,23.715
57,5,456.0,40.0,23.715
58,5,464.0,40.0,23.715
59,5,472.0,40.0,23.715
60,5,480.0,40.0,23.659
61,5,488.0,40.0,23.659
62,5,496.0,40.0,23.659
63,5,504.0,40.0,23.578
64,5,512.0,40.0,23.578
65,5,520.0,40.0,23.578
66,5,528.0,40.0,23.578
67,5,536.0,40.0,23.482
68,5,544.0,40.0,23.482
69,5,552.0,40.0,23.482
70,5,560.0,40.0,23.403
71,5,568.0,40.0,23.403
72,5,576.0,40.0,23.403
73,5,584.0,40.0,23.403
74,5,592.0,40.0,23.349
75,5,600.0,40.0,23.349
76,5,608.0,40.0,23.349
77,5,616.0,40.0,23.276
78,5,624.0,40.0,23.276
79,5,632.0,40.0,23.276
80,5,640.0,40.0,23.276
81,5,648.0,40.0,23.221
82,5,656.0,40.0,23.221
83,5,664.0,40.0,23.221
84,5,672.0,40.0,23.221
85,5,680.0,40.0,23.205
86,5,688.0,40.0,23.205
87,5,696.0,40.0,23.205
88,5,704.0,40.0,23.196
89,5,712.0,40.0,23.196
90,5,720.0,40.0,23.196
91,5,728.0,40.0,23.175
92,5,736.0,40.0,23.175
93,5,744.0,40.0,23.175
94,5,752.0,40.0,23.175
95,5,760.0,40.0,23.244
96,5,768.0,40.0,23.244
97,5,776.0,40.0,23.244
98,5,784.0,40.0,23.244
99,5,792.0,40.0,23.633
1,6,8.0,48.0,23.526
2,6,16.0,48.0,23.526
3,6,24.0,48.0,23.526
4,6,32.0,48.0,23.197
5,6,40.0,48.0,23.197
6,6,48.0,48.0,23.197
7,6,56.0,48.0,23.182
8,6,64.0,48.0,23.182
9,6,72.0,48.0,23.182
10,6,80.0,48.0,23.182
11,6,88.0,48.0,23.200
12,6,96.0,48.0,23.200
13,6,104.0,48.0,23.200
14,6,112.0,48.0,23.213
15,6,120.0,48.0,23.213
16,6,128.0,48.0,23.213
17,6,136.0,48.0,23.213
18,6,144.0,48.0,23.230
19,6,152.0,48.0,23.230
20,6,160.0,48.0,23.230
21,6,168.0,48.0,23.230
22,6,176.0,48.0,23.305
23,6,184.0,48.0,23.305
24,6,192.0,48.0,23.305
25,6,200.0,48.0,23.368
26,6,208.0,48.0,23.368
27,6,216.0,48.0,23.368
28,6,224.0,48.0,23.449
29,6,232.0,48.0,23.449
30,6,240.0,48.0,23.449
31,6,248.0,48.0,23.449
32,6,256.0,48.0,23.547
33,6,264.0,48.0,23.547
34,6,272.0,48.0,23.547
35,6,280.0,48.0,23.621
36,6,288.0,48.0,23.621
37,6,296.0,48.0,23.621
38,6,304.0,48.0,23.621
39,6,312.0,48.0,23.681
40,6,320.0,48.0,23.681
41,6,328.0,48.0,23.681
42,6,336.0,48.0,23.681
43,6,344.0,48.0,23.727
44,6,352.0,48.0,23.727
45,6,360.0,48.0,23.727
46,6,368.0,48.0,23.752
47,6,376.0,48.0,23.752
48,6,384.0,48.0,23.752
49,6,392.0,48.0,23.752
50,6,400.0,48.0,23.764
51,6,408.0,48.0,23.764
52,6,416.0,48.0,23.764
53,6,424.0,48.0,23.744
54,6,432.0,48.0,23.744
55,6,440.0,48.0,23.744
56,6,448.0,48.0,23.715
57,6,456.0,48.0,23.715
58,6,464.0,48.0,23.715
59,6,472.0,48.0,23.715
60,6,480.0,48.0,23.659
61,6,488.0,48.0,23.659
62,6,496.0,48.0,23.659
63,6,504.0,48.0,23.578
64,6,512.0,48.0,23.578
65,6,520.0,48.0,23.578
66,6,528.0,48.0,23.578
67,6,536.0,48.0,23.482
68,6,544.0,48.0,23.482
69,6,552.0,48.0,23.482
70,6,560.0,48.0,23.403
71,6,568.0,48.0,23.403
72,6,576.0,48.0,23.403
73,6,584.0,48.0,23.403
74,6,592.0,48.0,23.349
75,6,600.0,48.0,23.349
76,6,608.0,48.0,23.349
77,6,616.0,48.0,23.276
78,6,624.0,48.0,23.276
79,6,632.0,48.0,23.276
80,6,640.0,48.0,23.276
81,6,648.0,48.0,23.221
82,6,656.0,48.0,23.221
83,6,664.0,48.0,23.221
84,6,672.0,48.0,23.221
85,6,680.0,48.0,23.205
86,6,688.0,48.0,23.205
87,6,696.0,48.0,23.205
88,6,704.0,48.0,23.196
89,6,712.0,48.0,23.196
90,6,720.0,48.0,23.196
91,6,728.0,48.0,23.175
92,6,736.0,48.0,23.175
93,6,744.0,48.0,23.175
94,6,752.0,48.0,23.175
95,6,760.0,48.0,23.244
96,6,768.0,48.0,23.244
97,6,776.0,48.0,23.244
98,6,784.0,48.0,23.244
99,6,792.0,48.0,23.633
1,7,8.0,56.0,23.572
2,7,16.0,56.0,23.572
3,7,24.0,56.0,23.572
4,7,32.0,56.0,23.189
5,7,40.0,56.0,23.189
6,7,48.0,56.0,23.189
7,7,56.0,56.0,23.250
8,7,64.0,56.0,23.250
9,7,72.0,56.0,23.250
10,7,80.0,56.0,23.250
11,7,88.0,56.0,23.322
12,7,96.0,56.0,23.322
13,7,104.0,56.0,23.322
14,7,112.0,56.0,23.362
15,7,120.0,56.0,23.362
16,7,128.0,56.0,23.362
17,7,136.0,56.0,23.362
18,7,144.0,56.0,23.410
19,7,152.0,56.0,23.410
20,7,160.0,56.0,23.410
21,7,168.0,56.0,23.410
22,7,176.0,56.0,23.476
23,7,184.0,56.0,23.476
24,7,192.0,56.0,23.476
25,7,200.0,56.0,23.560
26,7,208.0,56.0,23.560
27,7,216.0,56.0,23.560
28,7,224.0,56.0,23.627
29,7,232.0,56.0,23.627
30,7,240.0,56.0,23.627
31,7,248.0,56.0,23.627
32,7,256.0,56.0,23.693
33,7,264.0,56.0,23.693
34,7,272.0,56.0,23.693
35,7,280.0,56.0,23.736
