ix,iz,x,z,T
63,2,504.0,16.0,22.897
64,2,512.0,16.0,22.897
65,2,520.0,16.0,22.897
66,2,528.0,16.0,22.897
67,2,536.0,16.0,23.064
68,2,544.0,16.0,23.064
69,2,552.0,16.0,23.064
70,2,560.0,16.0,23.203
71,2,568.0,16.0,23.203
72,2,576.0,16.0,23.203
73,2,584.0,16.0,23.203
74,2,592.0,16.0,23.309
75,2,600.0,16.0,23.309
76,2,608.0,16.0,23.309
77,2,616.0,16.0,23.427
78,2,624.0,16.0,23.427
79,2,632.0,16.0,23.427
80,2,640.0,16.0,23.427
81,2,648.0,16.0,23.545
82,2,656.0,16.0,23.545
83,2,664.0,16.0,23.545
84,2,672.0,16.0,23.545
85,2,680.0,16.0,23.650
86,2,688.0,16.0,23.650
87,2,696.0,16.0,23.650
88,2,704.0,16.0,23.755
89,2,712.0,16.0,23.755
90,2,720.0,16.0,23.755
91,2,728.0,16.0,23.885
92,2,736.0,16.0,23.885
93,2,744.0,16.0,23.885
94,2,752.0,16.0,23.885
95,2,760.0,16.0,24.162
96,2,768.0,16.0,24.162
4,3,32.0,24.0,24.059
5,3,40.0,24.0,24.059
6,3,48.0,24.0,24.059
7,3,56.0,24.0,23.824
8,3,64.0,24.0,23.824
9,3,72.0,24.0,23.824
10,3,80.0,24.0,23.824
11,3,88.0,24.0,23.716
12,3,96.0,24.0,23.716
13,3,104.0,24.0,23.716
14,3,112.0,24.0,23.612
15,3,120.0,24.0,23.612
16,3,128.0,24.0,23.612
17,3,136.0,24.0,23.612
18,3,144.0,24.0,23.503
19,3,152.0,24.0,23.503
20,3,160.0,24.0,23.503
21,3,168.0,24.0,23.503
22,3,176.0,24.0,23.382
23,3,184.0,24.0,23.382
24,3,192.0,24.0,23.382
25,3,200.0,24.0,23.258
26,3,208.0,24.0,23.258
27,3,216.0,24.0,23.258
28,3,224.0,24.0,23.114
29,3,232.0,24.0,23.114
30,3,240.0,24.0,23.114
31,3,248.0,24.0,23.114
32,3,256.0,24.0,22.956
33,3,264.0,24.0,22.956
34,3,272.0,24.0,22.956
35,3,280.0,24.0,22.797
36,3,288.0,24.0,22.797
37,3,296.0,24.0,22.797
38,3,304.0,24.0,22.797
39,3,312.0,24.0,22.571
40,3,320.0,24.0,22.571
41,3,328.0,24.0,22.571
42,3,336.0,24.0,22.571
43,3,344.0,24.0,22.101
44,3,352.0,24.0,22.101
45,3,360.0,24.0,22.101
46,3,368.0,24.0,21.398
47,3,376.0,24.0,21.398
48,3,384.0,24.0,21.398
49,3,392.0,24.0,21.398
50,3,400.0,24.0,21.166
51,3,408.0,24.0,21.166
52,3,416.0,24.0,21.166
53,3,424.0,24.0,21.625
54,3,432.0,24.0,21.625
55,3,440.0,24.0,21.625
56,3,448.0,24.0,22.293
57,3,456.0,24.0,22.293
58,3,464.0,24.0,22.293
59,3,472.0,24.0,22.293
60,3,480.0,24.0,22.673
61,3,488.0,24.0,22.673
62,3,496.0,24.0,22.673
63,3,504.0,24.0,22.897
64,3,512.0,24.0,22.897
65,3,520.0,24.0,22.897
66,3,528.0,24.0,22.897
67,3,536.0,24.0,23.064
68,3,544.0,24.0,23.064
69,3,552.0,24.0,23.064
70,3,560.0,24.0,23.203
71,3,568.0,24.0,23.203
