pid,x,y,z,T,speed
6,579.4,181.9,3.0,22.60,0.278
6,581.6,181.8,3.0,22.60,0.278
6,583.9,181.6,3.0,22.60,0.278
6,586.1,181.5,3.0,22.60,0.278
6,588.3,181.3,3.0,22.70,0.278
6,590.4,181.2,3.0,22.70,0.263
6,592.5,181.1,3.0,22.70,0.263
6,594.6,181.0,3.0,22.70,0.263
6,596.7,180.9,3.0,22.70,0.263
6,598.8,180.8,3.0,22.70,0.263
6,600.9,180.7,3.0,22.75,0.263
6,602.9,180.5,3.0,22.75,0.246
6,604.8,180.4,3.0,22.75,0.246
6,606.8,180.2,3.0,22.75,0.246
6,608.7,180.1,3.0,22.75,0.246
6,610.9,179.7,3.0,22.68,0.246
6,612.8,179.5,3.0,22.77,0.274
6,614.8,179.3,3.0,22.77,0.244
6,616.7,179.0,3.0,22.77,0.244
6,618.7,178.8,3.0,22.77,0.244
6,620.6,178.6,3.0,22.77,0.244
6,622.5,178.3,3.0,22.77,0.244
6,624.5,178.1,3.0,22.84,0.244
6,626.4,177.8,3.0,22.84,0.242
6,628.3,177.5,3.0,22.84,0.242
6,630.2,177.2,3.0,22.84,0.242
6,632.1,176.9,3.0,22.84,0.242
6,634.0,176.6,3.0,22.84,0.242
6,636.0,176.3,3.0,22.84,0.242
6,637.7,176.1,3.0,22.92,0.216
6,639.4,175.9,3.0,22.92,0.216
6,641.1,175.7,3.1,22.92,0.216
6,642.8,175.5,3.1,22.92,0.216
6,644.5,175.2,3.1,22.92,0.216
6,646.3,175.0,3.1,22.92,0.216
6,648.0,174.8,3.1,22.92,0.216
6,649.7,174.6,3.1,22.95,0.214
6,651.4,174.3,3.1,22.95,0.214
6,653.1,174.1,3.1,22.95,0.214
6,654.8,173.8,3.1,22.95,0.214
6,656.5,173.6,3.1,22.95,0.214
6,658.2,173.3,3.2,22.95,0.214
6,659.9,173.1,3.2,22.95,0.214
6,661.5,172.9,3.2,23.04,0.203
6,663.1,172.7,3.2,23.04,0.203
6,664.7,172.5,3.2,23.04,0.203
6,666.3,172.3,3.2,23.04,0.203
6,668.0,172.1,3.2,23.04,0.203
6,669.6,171.9,3.2,23.04,0.203
6,671.2,171.7,3.2,23.04,0.203
6,672.7,171.5,3.2,23.09,0.203
6,674.3,171.4,3.2,23.09,0.194
6,675.8,171.2,3.2,23.09,0.194
6,677.3,171.1,3.3,23.09,0.194
6,678.9,170.9,3.3,23.09,0.194
6,680.4,170.8,3.3,23.09,0.194
6,682.0,170.6,3.3,23.09,0.194
6,683.5,170.5,3.3,23.09,0.194
6,685.0,170.3,3.3,23.14,0.194
12,382.9,163.0,258.1,19.22,1.188
12,383.9,167.6,250.6,20.07,1.024
12,385.2,172.1,249.6,19.65,0.875
12,386.5,176.6,248.5,19.65,0.602
12,387.8,181.2,247.5,19.87,0.602
12,390.0,182.7,252.0,19.87,0.654
12,392.7,184.8,261.4,19.61,0.654
12,395.6,187.3,267.0,19.56,1.253
12,395.6,189.7,267.0,19.56,1.625
12,395.6,192.2,267.0,19.52,1.625
12,395.6,194.7,267.0,19.52,1.704
12,395.6,194.2,267.0,19.52,1.704
12,395.6,193.7,267.0,19.52,1.704
12,395.6,193.3,267.0,19.52,1.704
12,395.6,192.8,267.0,19.52,1.704
12,395.6,192.3,267.0,19.52,1.704
12,395.6,191.9,267.0,19.56,1.704
12,395.6,191.4,267.0,19.56,1.625
12,395.6,190.9,267.0,19.56,1.625
12,395.6,190.4,267.0,19.56,1.625
12,395.6,192.9,267.0,19.52,1.625
12,395.6,192.4,267.0,19.52,1.704
12,395.6,192.0,267.0,19.56,1.704
12,395.6,191.5,267.0,19.56,1.625
12,395.6,191.0,267.0,19.56,1.625
12,395.6,190.6,267.0,19.56,1.625
12,395.6,193.0,267.0,19.52,1.625
12,395.6,192.6,267.0,19.52,1.704
12,395.6,192.1,267.0,19.52,1.704
12,395.6,194.6,267.0,19.52,1.704
12,395.6,194.1,267.0,19.52,1.704
12,395.6,193.6,267.0,19.52,1.704
12,395.6,193.2,267.0,19.52,1.704
12,395.6,192.7,267.0,19.52,1.704
12,395.6,192.2,267.0,19.52,1.704
12,395.6,194.7,267.0,19.52,1.704
12,395.6,194.2,267.0,19.52,1.704
12,395.6,193.7,267.0,19.52,1.704
12,395.6,193.3,267.0,19.52,1.704
12,395.6,192.8,267.0,19.52,1.704
12,395.6,192.3,267.0,19.52,1.704
12,395.6,191.9,267.0,19.56,1.704
12,395.6,191.4,267.0,19.56,1.625
12,395.6,190.9,267.0,19.56,1.625
12,395.6,190.4,267.0,19.56,1.625
12,395.6,192.9,267.0,19.52,1.625
12,395.6,192.5,267.0,19.52,1.704
12,395.6,192.0,267.0,19.56,1.704
12,395.6,191.5,267.0,19.56,1.625
12,395.6,191.0,267.0,19.56,1.625
12,395.6,190.6,267.0,19.56,1.625
12,395.6,193.0,267.0,19.52,1.625
12,395.6,192.6,267.0,19.52,1.704
12,395.6,192.1,267.0,19.52,1.704
12,395.6,194.6,267.0,19.52,1.704
12,395.6,194.1,267.0,19.52,1.704
12,395.6,193.6,267.0,19.52,1.704
12,395.6,193.2,267.0,19.52,1.704
12,395.6,192.7,267.0,19.52,1.704
12,395.6,192.2,267.0,19.52,1.704
12,395.6,194.7,267.0,19.52,1.704
12,395.6,194.2,267.0,19.52,1.704
12,395.6,193.7,267.0,19.52,1.704
12,395.6,193.3,267.0,19.52,1.704
12,395.6,192.8,267.0,19.52,1.704
12,395.6,192.3,267.0,19.52,1.704
12,395.6,191.9,267.0,19.56,1.704
12,395.6,191.4,267.0,19.56,1.625
12,395.6,190.9,267.0,19.56,1.625
12,395.6,190.5,267.0,19.56,1.625
12,395.6,192.9,267.0,19.52,1.625
12,395.6,192.5,267.0,19.52,1.704
12,395.6,192.0,267.0,19.56,1.704
12,395.6,191.5,267.0,19.56,1.625
12,395.6,191.0,267.0,19.56,1.625
12,395.6,190.6,267.0,19.56,1.625
12,395.6,193.0,267.0,19.52,1.625
12,395.6,192.6,267.0,19.52,1.704
12,395.6,192.1,267.0,19.52,1.704
12,395.6,194.6,267.0,19.52,1.704
12,395.6,194.1,267.0,19.52,1.704
12,395.6,193.6,267.0,19.52,1.704
12,395.6,193.2,267.0,19.52,1.704
12,395.6,192.7,267.0,19.52,1.704
12,395.6,192.2,267.0,19.52,1.704
12,395.6,194.7,267.0,19.52,1.704
12,395.6,194.2,267.0,19.52,1.704
12,395.6,193.8,267.0,19.52,1.704
12,395.6,193.3,267.0,19.52,1.704
12,395.6,192.8,267.0,19.52,1.704
12,395.6,192.3,267.0,19.52,1.704
12,395.6,191.9,267.0,19.56,1.704
12,395.6,191.4,267.0,19.56,1.625
12,395.6,190.9,267.0,19.56,1.625
12,395.6,190.5,267.0,19.56,1.625
12,395.6,192.9,267.0,19.52,1.625
12,395.6,192.5,267.0,19.52,1.704
12,395.6,192.0,267.0,19.56,1.704
12,395.6,191.5,267.0,19.56,1.625
12,395.6,191.0,267.0,19.56,1.625
12,395.6,190.6,267.0,19.56,1.625
12,395.6,193.0,267.0,19.52,1.625
12,395.6,192.6,267.0,19.52,1.704
12,395.6,192.1,267.0,19.52,1.704
12,395.6,194.6,267.0,19.52,1.704
12,395.6,194.1,267.0,19.52,1.704
12,395.6,193.6,267.0,19.52,1.704
12,395.6,193.2,267.0,19.52,1.704
12,395.6,192.7,267.0,19.52,1.704
12,395.6,192.2,267.0,19.52,1.704
12,395.6,194.7,267.0,19.52,1.704
12,395.6,194.2,267.0,19.52,1.704
12,395.6,193.8,267.0,19.52,1.704
12,395.6,193.3,267.0,19.52,1.704
12,395.6,192.8,267.0,19.52,1.704
12,395.6,192.3,267.0,19.52,1.704
12,395.6,191.9,267.0,19.56,1.704
12,395.6,191.4,267.0,19.56,1.625
12,395.6,190.9,267.0,19.56,1.625
12,395.6,190.5,267.0,19.56,1.625
12,395.6,192.9,267.0,19.52,1.625
12,395.6,192.5,267.0,19.52,1.704
12,395.6,192.0,267.0,19.56,1.704
12,395.6,191.5,267.0,19.56,1.625
12,395.6,191.0,267.0,19.56,1.625
12,395.6,190.6,267.0,19.56,1.625
12,395.6,193.0,267.0,19.52,1.625
12,395.6,192.6,267.0,19.52,1.704
12,395.6,192.1,267.0,19.52,1.704
12,395.6,194.6,267.0,19.52,1.704
12,395.6,194.1,267.0,19.52,1.704
12,395.6,193.6,267.0,19.52,1.704
12,395.6,193.2,267.0,19.52,1.704
12,395.6,192.7,267.0,19.52,1.704
12,395.6,192.2,267.0,19.52,1.704
12,395.6,194.7,267.0,19.52,1.704
12,395.6,194.2,267.0,19.52,1.704
12,395.6,193.8,267.0,19.52,1.704
12,395.6,193.3,267.0,19.52,1.704
12,395.6,192.8,267.0,19.52,1.704
12,395.6,192.3,267.0,19.52,1.704
12,395.6,191.9,267.0,19.56,1.704
12,395.6,191.4,267.0,19.56,1.625
12,395.6,190.9,267.0,19.56,1.625
12,395.6,190.5,267.0,19.56,1.625
12,395.6,192.9,267.0,19.52,1.625
12,395.6,192.5,267.0,19.52,1.704
12,395.6,192.0,267.0,19.56,1.704
12,395.6,191.5,267.0,19.56,1.625
12,395.6,191.0,267.0,19.56,1.625
12,395.6,190.6,267.0,19.56,1.625
12,395.6,193.1,267.0,19.52,1.625
12,395.6,192.6,267.0,19.52,1.704
12,395.6,192.1,267.0,19.52,1.704
12,395.6,194.6,267.0,19.52,1.704
12,395.6,194.1,267.0,19.52,1.704
12,395.6,193.6,267.0,19.52,1.704
12,395.6,193.2,267.0,19.52,1.704
12,395.6,192.7,267.0,19.52,1.704
12,395.6,192.2,267.0,19.52,1.704
18,407.4,245.0,260.1,19.97,0.839
18,407.4,241.8,255.2,19.97,0.739
18,407.4,238.5,250.3,19.62,0.739
18,407.4,232.9,248.9,19.62,0.716
18,407.4,227.4,247.4,19.78,0.716
18,407.4,222.7,249.8,19.78,0.645
18,407.4,218.1,252.1,19.23,0.645
18,407.4,215.0,262.0,19.62,1.012
18,407.4,211.7,267.0,19.54,1.298
18,407.4,208.5,267.0,19.54,1.684
18,407.4,205.2,267.0,19.54,1.684
18,407.4,204.8,267.0,19.54,1.684
18,407.4,204.3,267.0,19.54,1.684
18,407.4,203.8,267.0,19.63,1.684
18,407.4,203.4,267.0,19.63,1.846
18,407.4,202.9,267.0,19.63,1.846
18,407.4,202.4,267.0,19.63,1.846
18,407.4,201.9,267.0,19.63,1.846
18,407.4,201.5,267.0,19.63,1.846
18,407.4,201.0,267.0,19.63,1.846
18,407.4,200.5,267.0,19.63,1.846
18,407.4,200.1,267.0,19.63,1.846
18,407.4,199.6,267.0,19.63,1.846
18,407.4,199.1,267.0,19.63,1.846
18,407.4,198.6,267.0,19.63,1.846
18,407.4,198.2,267.0,19.63,1.846
18,407.4,197.7,267.0,19.63,1.846
18,407.4,197.2,267.0,19.63,1.846
18,407.4,196.8,267.0,19.63,1.846
18,407.4,196.3,267.0,19.63,1.846
18,407.4,195.8,267.0,19.63,1.846
18,407.4,195.3,267.0,19.63,1.846
18,407.4,194.9,267.0,19.63,1.846
18,407.4,194.4,267.0,19.63,1.846
18,407.4,193.9,267.0,19.63,1.846
18,407.4,193.5,267.0,19.63,1.846
18,407.4,193.0,267.0,19.63,1.846
18,407.4,192.5,267.0,19.63,1.846
18,407.4,192.0,267.0,19.63,1.846
18,407.4,194.5,267.0,19.63,1.846
18,407.4,194.0,267.0,19.63,1.846
18,407.4,193.6,267.0,19.63,1.846
18,407.4,193.1,267.0,19.63,1.846
18,407.4,192.6,267.0,19.63,1.846
18,407.4,192.2,267.0,19.63,1.846
18,407.4,194.6,267.0,19.63,1.846
18,407.4,194.2,267.0,19.63,1.846
18,407.4,193.7,267.0,19.63,1.846
18,407.4,193.2,267.0,19.63,1.846
18,407.4,192.8,267.0,19.63,1.846
18,407.4,192.3,267.0,19.63,1.846
18,407.4,191.8,267.0,19.31,1.846
18,407.4,191.3,267.0,19.31,1.733
18,407.4,190.9,267.0,19.31,1.733
18,407.4,190.4,267.0,19.31,1.733
18,407.4,192.9,267.0,19.63,1.733
18,407.4,192.4,267.0,19.63,1.846
18,407.4,191.9,267.0,19.31,1.846
18,407.4,191.5,267.0,19.31,1.733
18,407.4,191.0,267.0,19.31,1.733
18,407.4,190.5,267.0,19.31,1.733
18,407.4,193.0,267.0,19.63,1.733
18,407.4,192.5,267.0,19.63,1.846
18,407.4,192.0,267.0,19.63,1.846
18,407.4,194.5,267.0,19.63,1.846
18,407.4,194.0,267.0,19.63,1.846
18,407.4,193.6,267.0,19.63,1.846
18,407.4,193.1,267.0,19.63,1.846
18,407.4,192.6,267.0,19.63,1.846
18,407.4,192.2,267.0,19.63,1.846
18,407.4,194.6,267.0,19.63,1.846
18,407.4,194.2,267.0,19.63,1.846
18,407.4,193.7,267.0,19.63,1.846
18,407.4,193.2,267.0,19.63,1.846
18,407.4,192.8,267.0,19.63,1.846
18,407.4,192.3,267.0,19.63,1.846
18,407.4,191.8,267.0,19.31,1.846
18,407.4,191.3,267.0,19.31,1.733
18,407.4,190.9,267.0,19.31,1.733
18,407.4,190.4,267.0,19.31,1.733
18,407.4,192.9,267.0,19.63,1.733
18,407.4,192.4,267.0,19.63,1.846
18,407.4,191.9,267.0,19.31,1.846
18,407.4,191.5,267.0,19.31,1.733
18,407.4,191.0,267.0,19.31,1.733
18,407.4,190.5,267.0,19.31,1.733
18,407.4,193.0,267.0,19.63,1.733
18,407.4,192.5,267.0,19.63,1.846
18,407.4,192.0,267.0,19.63,1.846
18,407.4,194.5,267.0,19.63,1.846
18,407.4,194.0,267.0,19.63,1.846
18,407.4,193.6,267.0,19.63,1.846
18,407.4,193.1,267.0,19.63,1.846
18,407.4,192.6,267.0,19.63,1.846
18,407.4,192.2,267.0,19.63,1.846
18,407.4,194.6,267.0,19.63,1.846
18,407.4,194.2,267.0,19.63,1.846
18,407.4,193.7,267.0,19.63,1.846
18,407.4,193.2,267.0,19.63,1.846
18,407.4,192.8,267.0,19.63,1.846
18,407.4,192.3,267.0,19.63,1.846
18,407.4,191.8,267.0,19.31,1.846
18,407.4,191.3,267.0,19.31,1.733
18,407.4,190.9,267.0,19.31,1.733
18,407.4,190.4,267.0,19.31,1.733
18,407.4,192.9,267.0,19.63,1.733
18,407.4,192.4,267.0,19.63,1.846
18,407.4,191.9,267.0,19.31,1.846
18,407.4,191.5,267.0,19.31,1.733
18,407.4,191.0,267.0,19.31,1.733
18,407.4,190.5,267.0,19.31,1.733
18,407.4,193.0,267.0,19.63,1.733
18,407.4,192.5,267.0,19.63,1.846
18,407.4,192.1,267.0,19.63,1.846
18,407.4,194.5,267.0,19.63,1.846
18,407.4,194.0,267.0,19.63,1.846
18,407.4,193.6,267.0,19.63,1.846
18,407.4,193.1,267.0,19.63,1.846
18,407.4,192.6,267.0,19.63,1.846
18,407.4,192.2,267.0,19.63,1.846
18,407.4,194.6,267.0,19.63,1.846
18,407.4,194.2,267.0,19.63,1.846
18,407.4,193.7,267.0,19.63,1.846
18,407.4,193.2,267.0,19.63,1.846
18,407.4,192.8,267.0,19.63,1.846
18,407.4,192.3,267.0,19.63,1.846
18,407.4,191.8,267.0,19.31,1.846
18,407.4,191.3,267.0,19.31,1.733
18,407.4,190.9,267.0,19.31,1.733
18,407.4,190.4,267.0,19.31,1.733
18,407.4,192.9,267.0,19.63,1.733
18,407.4,192.4,267.0,19.63,1.846
18,407.4,191.9,267.0,19.31,1.846
18,407.4,191.5,267.0,19.31,1.733
18,407.4,191.0,267.0,19.31,1.733
18,407.4,190.5,267.0,19.31,1.733
18,407.4,193.0,267.0,19.63,1.733
18,407.4,192.5,267.0,19.63,1.846
18,407.4,192.1,267.0,19.63,1.846
18,407.4,194.5,267.0,19.63,1.846
18,407.4,194.0,267.0,19.63,1.846
18,407.4,193.6,267.0,19.63,1.846
18,407.4,193.1,267.0,19.63,1.846
18,407.4,192.6,267.0,19.63,1.846
18,407.4,192.2,267.0,19.63,1.846
18,407.4,194.6,267.0,19.63,1.846
18,407.4,194.2,267.0,19.63,1.846
18,407.4,193.7,267.0,19.63,1.846
18,407.4,193.2,267.0,19.63,1.846
18,407.4,192.8,267.0,19.63,1.846
18,407.4,192.3,267.0,19.63,1.846
18,407.4,191.8,267.0,19.31,1.846
18,407.4,191.3,267.0,19.31,1.733
18,407.4,190.9,267.0,19.31,1.733
