t_s,point,ue_x,ue_y,z,T_C,U_mag
17.28,B,7.50,0.80,0.10,27.210,0.4023
17.28,B,7.50,0.80,1.10,27.281,0.2009
17.28,B,7.50,0.80,1.70,27.731,0.1377
17.28,C,4.00,4.50,0.10,27.464,0.1633
17.28,C,4.00,4.50,1.10,26.601,0.5754
17.28,C,4.00,4.50,1.70,25.578,0.7668
17.28,D,0.50,0.80,0.10,27.210,0.4023
17.28,D,0.50,0.80,1.10,27.281,0.2009
17.28,D,0.50,0.80,1.70,27.731,0.1377
18.16,A,4.00,2.00,0.10,27.162,0.3748
18.16,A,4.00,2.00,1.10,28.799,0.1970
18.16,A,4.00,2.00,1.70,28.858,0.2486
18.16,B,7.50,0.80,0.10,27.019,0.4014
18.16,B,7.50,0.80,1.10,27.413,0.1973
18.16,B,7.50,0.80,1.70,27.886,0.1603
18.16,C,4.00,4.50,0.10,27.480,0.1636
18.16,C,4.00,4.50,1.10,26.584,0.5761
18.16,C,4.00,4.50,1.70,25.574,0.7686
18.16,D,0.50,0.80,0.10,27.019,0.4014
18.16,D,0.50,0.80,1.10,27.413,0.1973
18.16,D,0.50,0.80,1.70,27.886,0.1603
19.05,A,4.00,2.00,0.10,27.177,0.3933
19.05,A,4.00,2.00,1.10,28.717,0.1991
19.05,A,4.00,2.00,1.70,28.853,0.2549
19.05,B,7.50,0.80,0.10,26.952,0.4027
19.05,B,7.50,0.80,1.10,27.551,0.1891
19.05,B,7.50,0.80,1.70,28.065,0.1761
19.05,C,4.00,4.50,0.10,27.486,0.1681
19.05,C,4.00,4.50,1.10,26.566,0.5771
19.05,C,4.00,4.50,1.70,25.571,0.7703
19.05,D,0.50,0.80,0.10,26.952,0.4027
19.05,D,0.50,0.80,1.10,27.551,0.1891
19.05,D,0.50,0.80,1.70,28.065,0.1761
19.93,A,4.00,2.00,0.10,27.198,0.3985
19.93,A,4.00,2.00,1.10,28.608,0.1964
19.93,A,4.00,2.00,1.70,28.842,0.2628
19.93,B,7.50,0.80,0.10,26.942,0.4071
19.93,B,7.50,0.80,1.10,27.679,0.1786
19.93,B,7.50,0.80,1.70,28.228,0.1819
19.93,C,4.00,4.50,0.10,27.486,0.1762
19.93,C,4.00,4.50,1.10,26.545,0.5782
19.93,C,4.00,4.50,1.70,25.566,0.7720
19.93,D,0.50,0.80,0.10,26.942,0.4071
19.93,D,0.50,0.80,1.10,27.679,0.1786
19.93,D,0.50,0.80,1.70,28.228,0.1819
20.81,A,4.00,2.00,0.10,27.222,0.3938
20.81,A,4.00,2.00,1.10,28.485,0.1904
20.81,A,4.00,2.00,1.70,28.820,0.2729
20.81,B,7.50,0.80,0.10,26.951,0.4132
20.81,B,7.50,0.80,1.10,27.789,0.1678
20.81,B,7.50,0.80,1.70,28.351,0.1782
20.81,C,4.00,4.50,0.10,27.485,0.1871
20.81,C,4.00,4.50,1.10,26.521,0.5794
20.81,C,4.00,4.50,1.70,25.559,0.7732
20.81,D,0.50,0.80,0.10,26.951,0.4132
20.81,D,0.50,0.80,1.10,27.789,0.1678
20.81,D,0.50,0.80,1.70,28.351,0.1782
21.69,A,4.00,2.00,0.10,27.247,0.3817
21.69,A,4.00,2.00,1.10,28.356,0.1831
21.69,A,4.00,2.00,1.70,28.782,0.2860
21.69,B,7.50,0.80,0.10,26.962,0.4194
21.69,B,7.50,0.80,1.10,27.877,0.1589
21.69,B,7.50,0.80,1.70,28.432,0.1684
21.69,C,4.00,4.50,0.10,27.486,0.2004
21.69,C,4.00,4.50,1.10,26.492,0.5805
21.69,C,4.00,4.50,1.70,25.547,0.7739
21.69,D,0.50,0.80,0.10,26.962,0.4194
21.69,D,0.50,0.80,1.10,27.877,0.1589
21.69,D,0.50,0.80,1.70,28.432,0.1684
22.57,A,4.00,2.00,0.10,27.273,0.3646
22.57,A,4.00,2.00,1.10,28.229,0.1759
22.57,A,4.00,2.00,1.70,28.723,0.3029
22.57,B,7.50,0.80,0.10,26.969,0.4245
22.57,B,7.50,0.80,1.10,27.937,0.1530
22.57,B,7.50,0.80,1.70,28.480,0.1556
22.57,C,4.00,4.50,0.10,27.490,0.2150
22.57,C,4.00,4.50,1.10,26.468,0.5797
22.57,C,4.00,4.50,1.70,25.529,0.7743
22.57,D,0.50,0.80,0.10,26.969,0.4245
22.57,D,0.50,0.80,1.10,27.937,0.1530
22.57,D,0.50,0.80,1.70,28.480,0.1556
23.45,A,4.00,2.00,0.10,27.301,0.3447
23.45,A,4.00,2.00,1.10,28.110,0.1686
23.45,A,4.00,2.00,1.70,28.627,0.3214
23.45,B,7.50,0.80,0.10,26.971,0.4276
23.45,B,7.50,0.80,1.10,27.964,0.1510
23.45,B,7.50,0.80,1.70,28.502,0.1419
23.45,C,4.00,4.50,0.10,27.490,0.2276
23.45,C,4.00,4.50,1.10,26.479,0.5711
23.45,C,4.00,4.50,1.70,25.497,0.7748
23.45,D,0.50,0.80,0.10,26.971,0.4276
23.45,D,0.50,0.80,1.10,27.964,0.1510
23.45,D,0.50,0.80,1.70,28.502,0.1419
24.33,A,4.00,2.00,0.10,27.329,0.3236
24.33,A,4.00,2.00,1.10,28.002,0.1601
24.33,A,4.00,2.00,1.70,28.470,0.3334
24.33,B,7.50,0.80,0.10,26.968,0.4288
24.33,B,7.50,0.80,1.10,27.959,0.1527
24.33,B,7.50,0.80,1.70,28.503,0.1284
24.33,C,4.00,4.50,0.10,27.468,0.2340
24.33,C,4.00,4.50,1.10,26.573,0.5447
24.33,C,4.00,4.50,1.70,25.442,0.7756
24.33,D,0.50,0.80,0.10,26.968,0.4288
