ix,iz,x,z,T
82,5,656.0,40.0,21.487
83,5,664.0,40.0,21.487
84,5,672.0,40.0,21.487
85,5,680.0,40.0,21.459
86,5,688.0,40.0,21.459
87,5,696.0,40.0,21.459
88,5,704.0,40.0,21.545
89,5,712.0,40.0,21.545
90,5,720.0,40.0,21.545
91,5,728.0,40.0,22.017
92,5,736.0,40.0,22.017
93,5,744.0,40.0,22.017
94,5,752.0,40.0,22.017
95,5,760.0,40.0,22.865
96,5,768.0,40.0,22.865
4,6,32.0,48.0,22.415
5,6,40.0,48.0,22.415
6,6,48.0,48.0,22.415
7,6,56.0,48.0,21.718
8,6,64.0,48.0,21.718
9,6,72.0,48.0,21.718
10,6,80.0,48.0,21.718
11,6,88.0,48.0,21.490
12,6,96.0,48.0,21.490
13,6,104.0,48.0,21.490
14,6,112.0,48.0,21.466
15,6,120.0,48.0,21.466
16,6,128.0,48.0,21.466
17,6,136.0,48.0,21.466
18,6,144.0,48.0,21.538
19,6,152.0,48.0,21.538
20,6,160.0,48.0,21.538
21,6,168.0,48.0,21.538
22,6,176.0,48.0,21.690
23,6,184.0,48.0,21.690
24,6,192.0,48.0,21.690
25,6,200.0,48.0,21.916
26,6,208.0,48.0,21.916
27,6,216.0,48.0,21.916
28,6,224.0,48.0,22.090
29,6,232.0,48.0,22.090
30,6,240.0,48.0,22.090
31,6,248.0,48.0,22.090
32,6,256.0,48.0,22.106
33,6,264.0,48.0,22.106
34,6,272.0,48.0,22.106
35,6,280.0,48.0,22.029
36,6,288.0,48.0,22.029
37,6,296.0,48.0,22.029
38,6,304.0,48.0,22.029
39,6,312.0,48.0,21.944
40,6,320.0,48.0,21.944
41,6,328.0,48.0,21.944
42,6,336.0,48.0,21.944
43,6,344.0,48.0,21.892
44,6,352.0,48.0,21.892
45,6,360.0,48.0,21.892
46,6,368.0,48.0,21.869
47,6,376.0,48.0,21.869
48,6,384.0,48.0,21.869
49,6,392.0,48.0,21.869
50,6,400.0,48.0,21.859
51,6,408.0,48.0,21.859
52,6,416.0,48.0,21.859
53,6,424.0,48.0,21.852
54,6,432.0,48.0,21.852
55,6,440.0,48.0,21.852
56,6,448.0,48.0,21.875
57,6,456.0,48.0,21.875
58,6,464.0,48.0,21.875
59,6,472.0,48.0,21.875
60,6,480.0,48.0,21.922
61,6,488.0,48.0,21.922
62,6,496.0,48.0,21.922
63,6,504.0,48.0,21.989
64,6,512.0,48.0,21.989
65,6,520.0,48.0,21.989
66,6,528.0,48.0,21.989
67,6,536.0,48.0,22.063
68,6,544.0,48.0,22.063
69,6,552.0,48.0,22.063
70,6,560.0,48.0,22.022
71,6,568.0,48.0,22.022
72,6,576.0,48.0,22.022
73,6,584.0,48.0,22.022
74,6,592.0,48.0,21.819
75,6,600.0,48.0,21.819
76,6,608.0,48.0,21.819
77,6,616.0,48.0,21.605
78,6,624.0,48.0,21.605
79,6,632.0,48.0,21.605
80,6,640.0,48.0,21.605
81,6,648.0,48.0,21.487
82,6,656.0,48.0,21.487
83,6,664.0,48.0,21.487
84,6,672.0,48.0,21.487
85,6,680.0,48.0,21.459
86,6,688.0,48.0,21.459
87,6,696.0,48.0,21.459
88,6,704.0,48.0,21.545
89,6,712.0,48.0,21.545
90,6,720.0,48.0,21.545
91,6,728.0,48.0,22.017
92,6,736.0,48.0,22.017
93,6,744.0,48.0,22.017
94,6,752.0,48.0,22.017
95,6,760.0,48.0,22.865
96,6,768.0,48.0,22.865
4,7,32.0,56.0,22.201
5,7,40.0,56.0,22.201
6,7,48.0,56.0,22.201
7,7,56.0,56.0,21.608
8,7,64.0,56.0,21.608
9,7,72.0,56.0,21.608
10,7,80.0,56.0,21.608
11,7,88.0,56.0,21.460
12,7,96.0,56.0,21.460
13,7,104.0,56.0,21.460
14,7,112.0,56.0,21.415
15,7,120.0,56.0,21.415
16,7,128.0,56.0,21.415
17,7,136.0,56.0,21.415
18,7,144.0,56.0,21.437
19,7,152.0,56.0,21.437
20,7,160.0,56.0,21.437
21,7,168.0,56.0,21.437
22,7,176.0,56.0,21.509
23,7,184.0,56.0,21.509
24,7,192.0,56.0,21.509
25,7,200.0,56.0,21.605
26,7,208.0,56.0,21.605
27,7,216.0,56.0,21.605
28,7,224.0,56.0,21.685
29,7,232.0,56.0,21.685
30,7,240.0,56.0,21.685
31,7,248.0,56.0,21.685
32,7,256.0,56.0,21.756
33,7,264.0,56.0,21.756
34,7,272.0,56.0,21.756
35,7,280.0,56.0,21.799
36,7,288.0,56.0,21.799
37,7,296.0,56.0,21.799
38,7,304.0,56.0,21.799
39,7,312.0,56.0,21.820
40,7,320.0,56.0,21.820
41,7,328.0,56.0,21.820
42,7,336.0,56.0,21.820
43,7,344.0,56.0,21.829
44,7,352.0,56.0,21.829
45,7,360.0,56.0,21.829
46,7,368.0,56.0,21.838
47,7,376.0,56.0,21.838
48,7,384.0,56.0,21.838
49,7,392.0,56.0,21.838
50,7,400.0,56.0,21.838
51,7,408.0,56.0,21.838
52,7,416.0,56.0,21.838
53,7,424.0,56.0,21.813
54,7,432.0,56.0,21.813
55,7,440.0,56.0,21.813
56,7,448.0,56.0,21.784
57,7,456.0,56.0,21.784
58,7,464.0,56.0,21.784
59,7,472.0,56.0,21.784
60,7,480.0,56.0,21.756
61,7,488.0,56.0,21.756
62,7,496.0,56.0,21.756
63,7,504.0,56.0,21.719
64,7,512.0,56.0,21.719
65,7,520.0,56.0,21.719
66,7,528.0,56.0,21.719
67,7,536.0,56.0,21.665
68,7,544.0,56.0,21.665
69,7,552.0,56.0,21.665
70,7,560.0,56.0,21.606
71,7,568.0,56.0,21.606
72,7,576.0,56.0,21.606
73,7,584.0,56.0,21.606
74,7,592.0,56.0,21.536
75,7,600.0,56.0,21.536
76,7,608.0,56.0,21.536
77,7,616.0,56.0,21.465
78,7,624.0,56.0,21.465
79,7,632.0,56.0,21.465
80,7,640.0,56.0,21.465
81,7,648.0,56.0,21.416
82,7,656.0,56.0,21.416
83,7,664.0,56.0,21.416
84,7,672.0,56.0,21.416
85,7,680.0,56.0,21.421
86,7,688.0,56.0,21.421
87,7,696.0,56.0,21.421
88,7,704.0,56.0,21.501
89,7,712.0,56.0,21.501
90,7,720.0,56.0,21.501
91,7,728.0,56.0,21.869
92,7,736.0,56.0,21.869
93,7,744.0,56.0,21.869
94,7,752.0,56.0,21.869
95,7,760.0,56.0,22.736
96,7,768.0,56.0,22.736
4,8,32.0,64.0,22.201
5,8,40.0,64.0,22.201
6,8,48.0,64.0,22.201
7,8,56.0,64.0,21.608
8,8,64.0,64.0,21.608
9,8,72.0,64.0,21.608
10,8,80.0,64.0,21.608
11,8,88.0,64.0,21.460
12,8,96.0,64.0,21.460
13,8,104.0,64.0,21.460
14,8,112.0,64.0,21.415
15,8,120.0,64.0,21.415
16,8,128.0,64.0,21.415
17,8,136.0,64.0,21.415
18,8,144.0,64.0,21.437
19,8,152.0,64.0,21.437
20,8,160.0,64.0,21.437
21,8,168.0,64.0,21.437
