x,y,z,T,Ux,Uy,Uz,p,source
2.8500,0.4500,0.0500,298.594,-0.1722,0.3933,-0.0285,100031.00,vane25
2.9500,0.4500,0.0500,298.596,-0.1654,0.3990,-0.0305,100031.00,vane25
3.0500,0.4500,0.0500,298.602,-0.1556,0.4035,-0.0322,100031.00,vane25
3.1500,0.4500,0.0500,298.611,-0.1431,0.4065,-0.0337,100031.00,vane25
3.2500,0.4500,0.0500,298.624,-0.1282,0.4078,-0.0348,100031.00,vane25
3.3500,0.4500,0.0500,298.642,-0.1111,0.4073,-0.0358,100031.00,vane25
3.4500,0.4500,0.0500,298.664,-0.0922,0.4047,-0.0364,100031.00,vane25
3.5500,0.4500,0.0500,298.690,-0.0719,0.4001,-0.0366,100031.00,vane25
3.6500,0.4500,0.0500,298.719,-0.0507,0.3939,-0.0362,100031.00,vane25
3.7500,0.4500,0.0500,298.750,-0.0302,0.3874,-0.0346,100031.00,vane25
3.8500,0.4500,0.0500,298.780,-0.0105,0.3833,-0.0297,100031.00,vane25
3.9500,0.4500,0.0500,298.807,-0.0009,0.3829,-0.0196,100031.00,vane25
4.0500,0.4500,0.0500,298.807,0.0009,0.3829,-0.0196,100031.00,vane25
4.1500,0.4500,0.0500,298.780,0.0105,0.3833,-0.0297,100031.00,vane25
4.2500,0.4500,0.0500,298.750,0.0302,0.3874,-0.0346,100031.00,vane25
4.3500,0.4500,0.0500,298.719,0.0507,0.3939,-0.0362,100031.00,vane25
4.4500,0.4500,0.0500,298.690,0.0719,0.4001,-0.0366,100031.00,vane25
4.5500,0.4500,0.0500,298.664,0.0922,0.4047,-0.0364,100031.00,vane25
4.6500,0.4500,0.0500,298.642,0.1111,0.4073,-0.0358,100031.00,vane25
4.7500,0.4500,0.0500,298.624,0.1282,0.4078,-0.0348,100031.00,vane25
4.8500,0.4500,0.0500,298.611,0.1431,0.4065,-0.0337,100031.00,vane25
4.9500,0.4500,0.0500,298.602,0.1556,0.4035,-0.0322,100031.00,vane25
5.0500,0.4500,0.0500,298.596,0.1654,0.3990,-0.0305,100031.00,vane25
5.1500,0.4500,0.0500,298.594,0.1722,0.3933,-0.0285,100031.00,vane25
5.2500,0.4500,0.0500,298.595,0.1757,0.3864,-0.0264,100031.00,vane25
5.3500,0.4500,0.0500,298.601,0.1758,0.3785,-0.0242,100031.00,vane25
5.4500,0.4500,0.0500,298.610,0.1726,0.3696,-0.0220,100031.00,vane25
5.5500,0.4500,0.0500,298.623,0.1666,0.3595,-0.0201,100031.00,vane25
5.6500,0.4500,0.0500,298.641,0.1587,0.3481,-0.0188,100031.00,vane25
5.7500,0.4500,0.0500,298.663,0.1518,0.3349,-0.0188,100031.00,vane25
2.2500,0.5500,0.0500,298.693,-0.1271,0.3513,-0.0094,100031.00,vane25
2.3500,0.5500,0.0500,298.673,-0.1344,0.3651,-0.0098,100031.00,vane25
2.4500,0.5500,0.0500,298.658,-0.1426,0.3764,-0.0110,100031.00,vane25
2.5500,0.5500,0.0500,298.648,-0.1491,0.3859,-0.0127,100031.00,vane25
2.6500,0.5500,0.0500,298.643,-0.1531,0.3939,-0.0146,100031.00,vane25
2.7500,0.5500,0.0500,298.642,-0.1539,0.4007,-0.0165,100031.00,vane25
2.8500,0.5500,0.0500,298.644,-0.1515,0.4062,-0.0184,100031.00,vane25
2.9500,0.5500,0.0500,298.650,-0.1461,0.4104,-0.0201,100031.00,vane25
3.0500,0.5500,0.0500,298.659,-0.1379,0.4132,-0.0215,100031.00,vane25
3.1500,0.5500,0.0500,298.672,-0.1271,0.4145,-0.0227,100031.00,vane25
3.2500,0.5500,0.0500,298.688,-0.1142,0.4140,-0.0237,100031.00,vane25
3.3500,0.5500,0.0500,298.709,-0.0994,0.4115,-0.0244,100031.00,vane25
3.4500,0.5500,0.0500,298.734,-0.0829,0.4070,-0.0249,100031.00,vane25
3.5500,0.5500,0.0500,298.762,-0.0651,0.4008,-0.0250,100031.00,vane25
3.6500,0.5500,0.0500,298.793,-0.0464,0.3934,-0.0246,100031.00,vane25
3.7500,0.5500,0.0500,298.824,-0.0283,0.3862,-0.0232,100031.00,vane25
3.8500,0.5500,0.0500,298.852,-0.0108,0.3825,-0.0189,100031.00,vane25
3.9500,0.5500,0.0500,298.874,-0.0013,0.3837,-0.0101,100031.00,vane25
4.0500,0.5500,0.0500,298.874,0.0013,0.3837,-0.0101,100031.00,vane25
4.1500,0.5500,0.0500,298.852,0.0108,0.3825,-0.0189,100031.00,vane25
4.2500,0.5500,0.0500,298.824,0.0283,0.3862,-0.0232,100031.00,vane25
4.3500,0.5500,0.0500,298.793,0.0464,0.3934,-0.0246,100031.00,vane25
4.4500,0.5500,0.0500,298.762,0.0651,0.4008,-0.0250,100031.00,vane25
4.5500,0.5500,0.0500,298.734,0.0829,0.4070,-0.0249,100031.00,vane25
4.6500,0.5500,0.0500,298.709,0.0994,0.4115,-0.0244,100031.00,vane25
4.7500,0.5500,0.0500,298.688,0.1142,0.4140,-0.0237,100031.00,vane25
4.8500,0.5500,0.0500,298.672,0.1271,0.4145,-0.0227,100031.00,vane25
4.9500,0.5500,0.0500,298.659,0.1379,0.4132,-0.0215,100031.00,vane25
5.0500,0.5500,0.0500,298.650,0.1461,0.4104,-0.0201,100031.00,vane25
5.1500,0.5500,0.0500,298.644,0.1515,0.4062,-0.0184,100031.00,vane25
5.2500,0.5500,0.0500,298.642,0.1539,0.4007,-0.0165,100031.00,vane25
5.3500,0.5500,0.0500,298.643,0.1531,0.3939,-0.0146,100031.00,vane25
5.4500,0.5500,0.0500,298.648,0.1491,0.3859,-0.0127,100031.00,vane25
5.5500,0.5500,0.0500,298.658,0.1426,0.3764,-0.0110,100031.00,vane25
5.6500,0.5500,0.0500,298.673,0.1344,0.3651,-0.0098,100031.00,vane25
5.7500,0.5500,0.0500,298.693,0.1271,0.3513,-0.0094,100031.00,vane25
2.2500,0.6500,0.0500,298.724,-0.1004,0.3560,-0.0010,100031.00,vane25
2.3500,0.6500,0.0500,298.706,-0.1090,0.3710,-0.0020,100031.00,vane25
2.4500,0.6500,0.0500,298.693,-0.1185,0.3826,-0.0035,100031.00,vane25
2.5500,0.6500,0.0500,298.686,-0.1262,0.3921,-0.0052,100031.00,vane25
2.6500,0.6500,0.0500,298.683,-0.1314,0.3997,-0.0070,100031.00,vane25
2.7500,0.6500,0.0500,298.685,-0.1335,0.4057,-0.0088,100031.00,vane25
2.8500,0.6500,0.0500,298.690,-0.1324,0.4101,-0.0106,100031.00,vane25
2.9500,0.6500,0.0500,298.699,-0.1286,0.4129,-0.0122,100031.00,vane25
3.0500,0.6500,0.0500,298.712,-0.1220,0.4142,-0.0136,100031.00,vane25
3.1500,0.6500,0.0500,298.728,-0.1131,0.4139,-0.0147,100031.00,vane25
3.2500,0.6500,0.0500,298.747,-0.1022,0.4119,-0.0155,100031.00,vane25
3.3500,0.6500,0.0500,298.771,-0.0895,0.4079,-0.0161,100031.00,vane25
3.4500,0.6500,0.0500,298.798,-0.0752,0.4020,-0.0165,100031.00,vane25
3.5500,0.6500,0.0500,298.829,-0.0596,0.3946,-0.0166,100031.00,vane25
3.6500,0.6500,0.0500,298.861,-0.0431,0.3864,-0.0162,100031.00,vane25
3.7500,0.6500,0.0500,298.893,-0.0269,0.3789,-0.0149,100031.00,vane25
3.8500,0.6500,0.0500,298.920,-0.0112,0.3759,-0.0109,100031.00,vane25
3.9500,0.6500,0.0500,298.939,-0.0017,0.3784,-0.0030,100031.00,vane25
4.0500,0.6500,0.0500,298.939,0.0017,0.3784,-0.0030,100031.00,vane25
4.1500,0.6500,0.0500,298.920,0.0112,0.3759,-0.0109,100031.00,vane25
4.2500,0.6500,0.0500,298.893,0.0269,0.3789,-0.0149,100031.00,vane25
4.3500,0.6500,0.0500,298.861,0.0431,0.3864,-0.0162,100031.00,vane25
4.4500,0.6500,0.0500,298.829,0.0596,0.3946,-0.0166,100031.00,vane25
4.5500,0.6500,0.0500,298.798,0.0752,0.4020,-0.0165,100031.00,vane25
4.6500,0.6500,0.0500,298.771,0.0895,0.4079,-0.0161,100031.00,vane25
4.7500,0.6500,0.0500,298.747,0.1022,0.4119,-0.0155,100031.00,vane25
4.8500,0.6500,0.0500,298.728,0.1131,0.4139,-0.0147,100031.00,vane25
4.9500,0.6500,0.0500,298.712,0.1220,0.4142,-0.0136,100031.00,vane25
5.0500,0.6500,0.0500,298.699,0.1286,0.4129,-0.0122,100031.00,vane25
5.1500,0.6500,0.0500,298.690,0.1324,0.4101,-0.0106,100031.00,vane25
5.2500,0.6500,0.0500,298.685,0.1335,0.4057,-0.0088,100031.00,vane25
5.3500,0.6500,0.0500,298.683,0.1314,0.3997,-0.0070,100031.00,vane25
5.4500,0.6500,0.0500,298.686,0.1262,0.3921,-0.0052,100031.00,vane25
5.5500,0.6500,0.0500,298.693,0.1185,0.3826,-0.0035,100031.00,vane25
5.6500,0.6500,0.0500,298.706,0.1090,0.3710,-0.0020,100031.00,vane25
5.7500,0.6500,0.0500,298.724,0.1004,0.3560,-0.0010,100031.00,vane25
2.2500,0.7500,0.0500,298.756,-0.0707,0.3500,0.0074,100031.00,vane25
2.3500,0.7500,0.0500,298.738,-0.0814,0.3671,0.0053,100031.00,vane25
2.4500,0.7500,0.0500,298.728,-0.0930,0.3797,0.0033,100031.00,vane25
2.5500,0.7500,0.0500,298.723,-0.1024,0.3895,0.0013,100031.00,vane25
2.6500,0.7500,0.0500,298.723,-0.1093,0.3972,-0.0008,100031.00,vane25
2.7500,0.7500,0.0500,298.727,-0.1132,0.4029,-0.0027,100031.00,vane25
2.8500,0.7500,0.0500,298.735,-0.1140,0.4067,-0.0046,100031.00,vane25
2.9500,0.7500,0.0500,298.747,-0.1120,0.4089,-0.0062,100031.00,vane25
3.0500,0.7500,0.0500,298.762,-0.1073,0.4094,-0.0074,100031.00,vane25
3.1500,0.7500,0.0500,298.780,-0.1003,0.4081,-0.0084,100031.00,vane25
3.2500,0.7500,0.0500,298.803,-0.0913,0.4048,-0.0092,100031.00,vane25
3.3500,0.7500,0.0500,298.829,-0.0806,0.3996,-0.0098,100031.00,vane25
3.4500,0.7500,0.0500,298.859,-0.0683,0.3926,-0.0101,100031.00,vane25
3.5500,0.7500,0.0500,298.892,-0.0546,0.3842,-0.0100,100031.00,vane25
3.6500,0.7500,0.0500,298.926,-0.0400,0.3755,-0.0096,100031.00,vane25
3.7500,0.7500,0.0500,298.958,-0.0255,0.3680,-0.0083,100031.00,vane25
3.8500,0.7500,0.0500,298.985,-0.0112,0.3652,-0.0047,100031.00,vane25
3.9500,0.7500,0.0500,299.002,-0.0020,0.3675,0.0021,100031.00,vane25
4.0500,0.7500,0.0500,299.002,0.0020,0.3675,0.0021,100031.00,vane25
4.1500,0.7500,0.0500,298.985,0.0112,0.3652,-0.0047,100031.00,vane25
4.2500,0.7500,0.0500,298.958,0.0255,0.3680,-0.0083,100031.00,vane25
4.3500,0.7500,0.0500,298.926,0.0400,0.3755,-0.0096,100031.00,vane25
4.4500,0.7500,0.0500,298.892,0.0546,0.3842,-0.0100,100031.00,vane25
4.5500,0.7500,0.0500,298.859,0.0683,0.3926,-0.0101,100031.00,vane25
4.6500,0.7500,0.0500,298.829,0.0806,0.3996,-0.0098,100031.00,vane25
4.7500,0.7500,0.0500,298.803,0.0913,0.4048,-0.0092,100031.00,vane25
4.8500,0.7500,0.0500,298.780,0.1003,0.4081,-0.0084,100031.00,vane25
4.9500,0.7500,0.0500,298.762,0.1073,0.4094,-0.0074,100031.00,vane25
5.0500,0.7500,0.0500,298.747,0.1120,0.4089,-0.0062,100031.00,vane25
5.1500,0.7500,0.0500,298.735,0.1140,0.4067,-0.0046,100031.00,vane25
5.2500,0.7500,0.0500,298.727,0.1132,0.4029,-0.0027,100031.00,vane25
5.3500,0.7500,0.0500,298.723,0.1093,0.3972,-0.0008,100031.00,vane25
5.4500,0.7500,0.0500,298.723,0.1024,0.3895,0.0013,100031.00,vane25
5.5500,0.7500,0.0500,298.728,0.0930,0.3797,0.0033,100031.00,vane25
5.6500,0.7500,0.0500,298.738,0.0814,0.3671,0.0053,100031.00,vane25
5.7500,0.7500,0.0500,298.756,0.0707,0.3500,0.0074,100031.00,vane25
2.2500,0.8500,0.0500,298.790,-0.0361,0.3344,0.0169,100031.00,vane25
2.3500,0.8500,0.0500,298.772,-0.0503,0.3546,0.0131,100031.00,vane25
2.4500,0.8500,0.0500,298.762,-0.0650,0.3689,0.0102,100031.00,vane25
2.5500,0.8500,0.0500,298.759,-0.0769,0.3797,0.0075,100031.00,vane25
2.6500,0.8500,0.0500,298.761,-0.0861,0.3878,0.0051,100031.00,vane25
2.7500,0.8500,0.0500,298.768,-0.0922,0.3937,0.0028,100031.00,vane25
2.8500,0.8500,0.0500,298.779,-0.0952,0.3974,0.0007,100031.00,vane25
2.9500,0.8500,0.0500,298.793,-0.0953,0.3992,-0.0010,100031.00,vane25
3.0500,0.8500,0.0500,298.811,-0.0927,0.3992,-0.0024,100031.00,vane25
3.1500,0.8500,0.0500,298.832,-0.0878,0.3972,-0.0035,100031.00,vane25
3.2500,0.8500,0.0500,298.857,-0.0808,0.3931,-0.0043,100031.00,vane25
3.3500,0.8500,0.0500,298.886,-0.0721,0.3869,-0.0048,100031.00,vane25
3.4500,0.8500,0.0500,298.919,-0.0617,0.3789,-0.0050,100031.00,vane25
3.5500,0.8500,0.0500,298.954,-0.0499,0.3698,-0.0049,100031.00,vane25
3.6500,0.8500,0.0500,298.989,-0.0369,0.3604,-0.0044,100031.00,vane25
3.7500,0.8500,0.0500,299.023,-0.0240,0.3526,-0.0032,100031.00,vane25
3.8500,0.8500,0.0500,299.049,-0.0111,0.3495,-0.0000,100031.00,vane25
3.9500,0.8500,0.0500,299.066,-0.0023,0.3516,0.0058,100031.00,vane25
4.0500,0.8500,0.0500,299.066,0.0023,0.3516,0.0058,100031.00,vane25
4.1500,0.8500,0.0500,299.049,0.0111,0.3495,-0.0000,100031.00,vane25
4.2500,0.8500,0.0500,299.023,0.0240,0.3526,-0.0032,100031.00,vane25
4.3500,0.8500,0.0500,298.989,0.0369,0.3604,-0.0044,100031.00,vane25
4.4500,0.8500,0.0500,298.954,0.0499,0.3698,-0.0049,100031.00,vane25
4.5500,0.8500,0.0500,298.919,0.0617,0.3789,-0.0050,100031.00,vane25
4.6500,0.8500,0.0500,298.886,0.0721,0.3869,-0.0048,100031.00,vane25
