dir,k,step,x,y,z,T
Xp,8,26,5.1583,2.0634,2.1559,20.538
Xp,0,27,4.9830,1.8491,2.1867,21.659
Xp,1,27,5.4452,1.8515,2.0453,20.240
Xp,2,27,5.9535,1.8587,2.1195,20.701
Xp,3,27,5.9535,1.9337,2.1195,20.701
Xp,4,27,5.9384,1.9526,2.1118,20.701
Xp,5,27,5.8849,1.9793,2.1350,20.753
Xp,6,27,5.7187,2.0012,2.0710,20.598
Xp,7,27,5.5318,2.0318,2.0850,20.615
Xp,8,27,5.1831,2.0589,2.1379,20.538
Xp,0,28,4.9983,1.8490,2.1711,21.659
Xp,1,28,5.4731,1.8509,2.0258,20.176
Xp,2,28,5.9872,1.8574,2.1011,20.701
Xp,3,28,5.9872,1.9324,2.1011,20.701
Xp,4,28,5.9717,1.9511,2.0933,20.701
Xp,5,28,5.9190,1.9791,2.1174,20.753
Xp,6,28,5.7507,1.9995,2.0522,20.598
Xp,7,28,5.5625,2.0290,2.0658,20.615
Xp,8,28,5.2075,2.0545,2.1201,20.538
Xp,0,29,5.0118,1.8491,2.1560,21.659
Xp,1,29,5.4986,1.8505,2.0072,20.176
Xp,2,29,6.0197,1.8563,2.0830,20.729
Xp,3,29,6.0197,1.9313,2.0830,20.729
Xp,4,29,6.0038,1.9499,2.0750,20.729
Xp,5,29,5.9523,1.9790,2.1000,20.714
Xp,6,29,5.7818,1.9979,2.0336,20.598
Xp,7,29,5.5928,2.0264,2.0466,20.600
Xp,8,29,5.2316,2.0503,2.1023,20.474
Xp,0,30,5.0244,1.8491,2.1411,21.659
Xp,1,30,5.5218,1.8504,1.9894,20.176
Xp,2,30,6.0511,1.8554,2.0651,20.955
Xp,3,30,6.0511,1.9304,2.0651,20.955
Xp,4,30,6.0350,1.9488,2.0570,20.729
Xp,5,30,5.9848,1.9791,2.0827,20.787
Xp,6,30,5.8121,1.9965,2.0154,20.873
Xp,7,30,5.6227,2.0240,2.0275,20.600
Xp,8,30,5.2552,2.0462,2.0846,20.744
Xp,0,31,5.0357,1.8492,2.1265,21.659
Xp,1,31,5.5437,1.8503,1.9721,20.176
Xp,2,31,6.0814,1.8546,2.0473,20.955
Xp,3,31,6.0814,1.9296,2.0473,20.955
Xp,4,31,6.0653,1.9480,2.0390,20.955
Xp,5,31,6.0167,1.9792,2.0655,20.787
Xp,6,31,5.8414,1.9954,1.9976,20.873
Xp,7,31,5.6521,2.0216,2.0085,20.600
Xp,8,31,5.2784,2.0422,2.0669,20.744
Xp,0,32,5.0463,1.8493,2.1121,21.659
Xp,1,32,5.5644,1.8503,1.9553,20.363
Xp,2,32,6.1106,1.8539,2.0296,20.955
Xp,3,32,6.1106,1.9289,2.0296,20.955
Xp,4,32,6.0947,1.9473,2.0212,20.955
Xp,5,32,6.0480,1.9794,2.0482,20.787
Xp,6,32,5.8700,1.9945,1.9801,20.873
Xp,7,32,5.6808,2.0193,1.9896,20.600
Xp,8,32,5.3012,2.0383,2.0494,20.744
Xp,0,33,5.0557,1.8495,2.0982,21.659
Xp,1,33,5.5844,1.8504,1.9387,20.342
Xp,2,33,6.1388,1.8534,2.0121,20.955
Xp,3,33,6.1388,1.9284,2.0121,20.955
Xp,4,33,6.1231,1.9467,2.0036,20.955
Xp,5,33,6.0787,1.9796,2.0310,20.920
Xp,6,33,5.8980,1.9937,1.9628,21.000
Xp,7,33,5.7090,2.0172,1.9708,20.598
Xp,8,33,5.3235,2.0344,2.0320,20.744
Xp,0,34,5.0647,1.8497,2.0843,21.687
Xp,1,34,5.6044,1.8504,1.9220,20.342
Xp,2,34,6.1659,1.8530,1.9947,20.955
